"constituency","fat","events.org","ethnic.het","kikuyu","population","poverty","change.pov","odinga","pol.comp"
"NAKURU TOWN",90,1,1.01883795494753,5.965,258.847,0.454,0.249564857831045,4.11,1.09453078536756
"NAMBALE",30,1,0.94526275735198,0.072,212.938,0.681,0.206351058919124,8.01,-0.265861681857692
"NAROK NORTH",4,1,1.48131062554813,1.132,205.183,0.262,-1.28761170346442,6.63,0.567031665423076
"NAROK SOUTH",0,0,1.48131062554813,1.132,267.199,0.271,-1.3678659014437,7.95,-0.163138169026397
"NDARAGWA",0,0,-0.939663733429238,9.566,96.22,0.384,1.03358663809018,0.08,-1.19037329733934
"NDHIWA",0,0,0.216517943072252,0.014,141.116,0.441,-1.53454769724683,9.95,-1.23757058701859
"NDIA",0,0,-1.05878548191727,9.704,110.586,0.231,-0.318387927868485,0.08,-1.19592591965455
"NITHI",0,0,-0.505219709531708,0.143,251.043,0.312,-1.44812009942298,0.19,-1.11263658492647
"NORTH HORR",4,1,1.98582626620332,0.083,59.427,0.947,2.23122620793484,5.25,1.23334634324769
"NORTH IMENTI",0,0,-0.505219709531708,0.143,258.842,0.239,-1.02215551014834,0.4,-0.965492093573537
"NTONYIRI",0,0,-0.505219709531708,0.143,214.154,0.201,-0.657924919319291,0.38,-1.01268938325278
"NYAKACH",0,0,-0.522737613721125,0.079,109.931,0.492,-0.664098319163851,9.94,-1.23479427586099
"NYANDO",0,0,-0.522737613721125,0.079,109.424,0.495,-0.769046116521373,9.92,-1.22646534238818
"NYARIBARI CHACHE",24,1,-1.1148427753234,0.014,119.367,0.482,-0.318387927868485,4.17,1.15838594199242
"NYARIBARI MASABA",0,0,-1.1148427753234,0.014,115.16,0.488,-0.330734727557605,3.69,0.908517937808191
"NYATIKE",0,0,0.216517943072252,0.014,121.787,0.438,-0.0591051343969606,9.93,-1.21813640891537
"NYERI TOWN",0,0,-1.00272818851114,9.657,115.889,0.438,0.261911657520165,0.21,-1.10708396261127
"OL_KALOU",0,0,-0.939663733429238,9.566,185.115,0.463,1.02123983840106,0.05,-1.20425485312736
"OTHAYA",0,1,-1.00272818851114,9.657,101.239,0.29,0.348339255344006,0.04,-1.22368903123058
"RANGWE",0,0,0.216517943072252,0.014,166.18,0.419,-1.62097529507067,9.96,-1.24312320933379
"RARIEDA",0,0,-0.946670895105005,0.005,122.263,0.261,-2.70132026786868,9.77,-1.1459523188177
"RONGAI",2,1,1.01883795494753,5.965,154.745,0.448,0.311298856276646,4.7,1.39714870154624
"RONGO",0,0,0.216517943072252,0.014,187.732,0.388,-0.077625333930641,9.94,-1.23201796470338
"RUNYENJES",0,0,0.983802146568696,0.551,180.469,0.372,-1.07771610874938,0.17,-1.10153134029606
"SABATIA",0,0,-0.862584954995806,0.083,146.189,0.416,-0.917207712790815,8.55,-0.637887376976435
"SABOTI",15,1,1.31664232616761,0.958,411.628,0.488,0.348339255344006,4.13,1.12784651925879
"SAKU",10,1,1.98582626620332,0.083,38.552,0.94,2.62632379798668,4,1.2388989655629
"SAMBURU EAST",0,0,0.314618206532985,0.282,47.833,0.677,1.94724981508507,7.22,0.236650637668371
"SAMBURU WEST",0,0,0.314618206532985,0.282,151.387,0.809,2.12627841057732,8.29,-0.324164216167346
"SHINYALU",0,0,-0.862584954995806,0.083,140.832,0.576,-0.404815525692326,6.85,0.342150461657268
"SIAKAGO",0,0,0.983802146568696,0.551,85.546,0.552,-0.657924919319291,0.12,-1.11818920724168
"SIGOR",0,0,-0.27398337423141,0.272,143.434,0.708,1.29904283140626,9.46,-0.993255205149563
"SIRISIA",0,0,-0.133840140716078,0.111,246.7,0.509,-0.219613530355523,2.77,0.400452995966922
"SOTIK",0,0,-0.126832979040311,0.36,146.291,0.539,-0.861647114189774,9.61,-1.07099191756243
"SOUTH IMENTI",0,0,-0.505219709531708,0.143,187.255,0.234,-0.991288510925536,0.29,-1.05988667293202
"SOUTH MUGIRANGO",0,0,-1.1148427753234,0.014,141.478,0.66,0.496500851613449,3.76,0.997359894851473
"STAREHE",6,1,1.90874748776989,3.237,307.577,0.208,-1.2135309053297,3.28,0.847439092340935
"SUBUKIA",0,0,1.01883795494753,5.965,175.235,0.342,0.261911657520165,0.38,-0.998807827464768
"TAVETA",0,0,0.475782925075617,0.15,66.005,0.513,0.0211490635823207,3.34,1.16116225315002
"TETU",0,0,-1.00272818851114,9.657,91.841,0.349,0.428593453323288,0.03,-1.22646534238818
"THARAKA",0,0,-0.505219709531708,0.143,119.873,0.487,-0.664098319163851,0.43,-0.932176359682307
"TIGANIA EAST",0,0,-0.505219709531708,0.143,151.446,0.359,-1.29378510330898,0.29,-1.04600511714401
"TIGANIA WEST",0,0,-0.505219709531708,0.143,138.437,0.364,-1.31230530284266,0.2,-1.10986027376887
"TINDERET",0,0,0.367171919101235,0.167,212.607,0.544,0.101403261561602,8.78,-0.607347954242807
"TURKANA CENTRAL",40,1,-0.862584954995806,0.072,218.181,0.969,2.2373996077794,4.27,1.14450438620441
"TURKANA NORTH",10,1,-0.862584954995806,0.072,236.918,0.88,1.89786261632859,2.68,0.239426948825974
"TURKANA SOUTH",0,0,-0.862584954995806,0.072,83.85,0.961,2.91030019083645,3.94,0.964044160960242
"UGENYA",0,0,-0.946670895105005,0.005,202.443,0.374,-1.22587770501882,9.92,-1.22091272007297
"URIRI",0,0,0.216517943072252,0.014,99.58,0.434,-0.108492333153441,9.52,-1.01546569441038
"VIHIGA",0,0,-0.862584954995806,0.083,102.947,0.397,-0.849300314500654,8.93,-0.765597690226153
"VOI",0,0,0.475782925075617,0.15,92.151,0.604,0.342165855499446,4.45,1.47210910280151
"WAJIR EAST",0,0,1.33065664951914,0.039,130.424,0.763,1.05828023746842,5.43,1.08620185189475
"WAJIR NORTH",0,0,1.33065664951914,0.039,75.433,0.934,1.63857982285707,4.85,1.44989861354069
"WAJIR SOUTH",0,0,1.33065664951914,0.039,96.177,0.899,1.55215222503323,6.65,0.664202555939165
"WAJIR WEST",0,0,1.33065664951914,0.039,86.809,0.824,1.44720442767571,3.59,0.775255002243268
"WEBUYE",0,0,-0.133840140716078,0.111,233.288,0.517,-0.262827329267444,3.88,0.969596783275447
"WEST MUGIRANGO",16,1,-1.1148427753234,0.014,153.619,0.464,-1.12710330750586,3.89,1.00568882832428
"WESTLANDS",1,1,1.90874748776989,3.237,271.894,0.153,-0.762872716676813,5.24,1.19725429819886
"WUNDANYI",0,0,0.475782925075617,0.15,68.142,0.588,-0.0714519340860808,6.85,0.342150461657268
"YATTA",0,0,-1.0307568352142,0.121,166.731,0.604,0.0890564618724819,0.21,-1.06543929524723
